"FID","id","nome","uf","codigo_ibg","codigo_mun","ano","populacao","agua","esgoto","taxa_esgoto","taxa_agua"
"66",65,3833,"Taboleiro Grande","RN",2413805,241380,2015,2518,1804,0,0,0.716441620333598
"67",66,2923,"Saloá","PE",2612307,261230,2015,15742,5552,0,0,0.352687079151315
"68",67,2730,"Santa Luzia","PB",2513406,251340,2015,15278,14197,13991,0.915761225291268,0.929244665532138
"69",68,2722,"Riacho dos Cavalos","PB",2512804,251280,2015,8563,0,8538,0.997080462454747,0
"70",69,2734,"Santa Rita","PB",2513703,251370,2015,134940,118055,5101,0.037801986067882,0.874870312731584
"71",70,2959,"Triunfo","PE",2615706,251680,2015,9447,0,0,0,0
"72",71,3715,"Cruzeta","RN",2403004,240300,2015,8164,6682,6000,0.734933855952964,0.818471337579618
"73",72,2737,"São Bentinho","PB",2513927,251392,2015,4451,3356,0,0,0.753987867894855
"74",73,2738,"São Bento","PB",2513901,251390,2015,33464,28382,26000,0.776954338991155,0.848135309586421
"75",74,3836,"Tenente Ananias","RN",2414100,241410,2015,10646,7691,0,0,0.722430959984971
"76",75,2743,"São João do Rio do Peixe","PB",2500700,250070,2015,17929,0,0,0,0
"77",76,3687,"Alexandria","RN",2400505,240050,2015,13852,13512,5513,0.397993069592839,0.975454807969968
"78",77,2741,"São Francisco","PB",2513984,251398,2015,3375,1578,0,0,0.467555555555556
"79",78,2744,"São João do Tigre","PB",2514107,251410,2012,4384,1500,1000,0.228102189781022,0.342153284671533
"80",79,3689,"Alto do Rodrigues","RN",2400703,240070,2015,13915,9966,197,0.0141573841178584,0.716205533596838
"81",80,2745,"São José da Lagoa Tapada","PB",2514206,251420,2015,7677,3360,0,0,0.437670965220789
"82",81,3692,"Apodi","RN",2401008,240100,2015,36189,18584,0,0,0.513526209621708
"83",82,2747,"São José de Espinharas","PB",2514404,251440,2015,4684,2074,0,0,0.442783945345858
"84",83,3690,"Angicos","RN",2400802,240080,2015,11907,10507,0,0,0.882422104644327
"85",84,3691,"Antônio Martins","RN",2400901,240090,2015,7205,2879,1527,0.211936155447606,0.399583622484386
"86",85,2748,"São José de Piranhas","PB",2514503,251450,2015,19956,16001,0,0,0.801813990779715
"87",86,2755,"São Mamede","PB",2514909,251490,2015,7756,7232,5935,0.765214027849407,0.932439401753481
"88",87,2756,"São Miguel de Taipu","PB",2515005,251500,2012,6789,5542,2630,0.387391368390043,0.816320518485786
"89",88,2754,"São José dos Ramos","PB",2514453,251445,2015,5870,2622,0,0,0.446678023850085
"90",89,3831,"Severiano Melo","RN",2413607,241360,2015,3893,3893,0,0,1
"91",90,2758,"São Sebastião do Umbuzeiro","PB",2515203,251520,2015,3440,2500,2300,0.668604651162791,0.726744186046512
"92",91,2759,"Sapé","PB",2515302,251530,2015,52218,34410,10941,0.20952545099391,0.658968171894749
"93",92,2931,"Santa Terezinha","PE",2612802,261280,2015,11627,8557,0,0,0.735959404833577
"94",93,3693,"Areia Branca","RN",2401107,240110,2015,27356,21955,0,0,0.802566164643954
"95",94,3714,"Coronel João Pessoa","RN",2402907,240290,2015,4963,1700,0,0,0.342534757203304
"96",95,2760,"Seridó","PB",2515401,251540,2015,10900,4412,0,0,0.404770642201835
"97",96,2761,"Serra Branca","PB",2515500,251550,2015,13564,10630,0,0,0.783692126216455
"98",97,2769,"Soledade","PB",2516102,251610,2015,14714,12425,0,0,0.844433872502379
"99",98,3705,"Caicó","RN",2402006,240200,2015,67259,61630,5683,0.0844942684250435,0.91630859810583
"100",99,2721,"Riacho de Santo Antônio","PB",2512788,251278,2015,1923,0,0,0,0
"101",100,3708,"Caraúbas","RN",2402303,250407,2015,4115,1918,2318,0.563304981773998,0.466099635479951
"102",101,3709,"Carnaúba dos Dantas","RN",2402402,240240,2015,8045,5227,0,0,0.649720323182101
"103",102,3710,"Carnaubais","RN",2402501,240250,2015,10760,3167,2405,0.223513011152416,0.294330855018587
"104",103,2742,"São João do Cariri","PB",2514008,251400,2015,4323,3624,0,0,0.838306731436502
"105",104,3827,"Serra do Mel","RN",2413359,241335,2015,11507,607,0,0,0.0527504996958373
"106",105,3746,"João Dias","RN",2405900,240590,2015,2691,972,0,0,0.361204013377926
"107",106,3747,"José da Penha","RN",2406007,240600,2015,6049,3651,413,0.0682757480575302,0.603570838155067
"108",107,3828,"Serra Negra do Norte","RN",2413409,241340,2015,8130,6503,5712,0.702583025830258,0.799876998769988
"109",108,2751,"São José do Brejo do Cruz","PB",2514651,251465,2015,1780,1318,400,0.224719101123595,0.740449438202247
"110",109,3774,"Ouro Branco","RN",2408508,240850,2015,4871,3377,2500,0.513241634161363,0.693286799425169
"111",110,3765,"Messias Targino","RN",2407609,240760,2015,4530,2482,0,0,0.547902869757174
"112",111,2752,"São José do Sabugi","PB",2514701,251470,2015,4124,3375,2212,0.536372453928225,0.818380213385063
"113",112,3775,"Paraná","RN",2408607,240860,2015,4222,2874,0,0,0.680720037896731
"114",113,2753,"São José dos Cordeiros","PB",2514800,251480,2015,3729,2487,0,0,0.666934835076428
"115",114,2764,"Serra Redonda","PB",2515807,251580,2015,7053,0,0,0,0
"116",115,3776,"Paraú","RN",2408706,240870,2015,3891,3424,0,0,0.879979439732717
"117",116,3769,"Mossoró","RN",2408003,240800,2015,288162,263279,129456,0.449247298394653,0.913649266731908
"118",117,3838,"Tibau","RN",2411056,241105,2015,4019,3090,0,0,0.768847972132371
"119",118,2818,"Calçado","PE",2603306,260330,2015,11136,3922,0,0,0.352191091954023
"120",119,2620,"Condado","PB",2504504,250450,2015,6733,6181,0,0,0.918015743353631
"121",120,2781,"Vieirópolis","PB",2517209,251720,2015,5295,1186,0,0,0.223984891406988
"122",121,2935,"São João","PE",2613206,261320,2015,22403,13749,0,0,0.61371244922555
"123",122,3823,"São Vicente","RN",2413003,241300,2015,6400,5185,0,0,0.81015625
"124",123,3799,"Riachuelo","RN",2410900,241090,2015,7863,4837,4301,0.546992242146763,0.615159608292001
"125",124,3842,"Triunfo Potiguar","RN",2414456,241445,2015,3366,2894,0,0,0.859774212715389
"126",125,3843,"Umarizal","RN",2414506,241450,2015,10835,9219,0,0,0.850853714813106
"127",126,3844,"Upanema","RN",2414605,241460,2015,14282,7050,0,0,0.493628343369276
"128",127,3845,"Várzea","RN",2414704,251710,2015,2747,2426,1800,0.655260283946123,0.883145249362941
"129",128,3846,"Venha-Ver","RN",2414753,241475,2015,4121,1293,0,0,0.313758796408639
"130",129,3848,"Viçosa","RN",2414902,241490,2015,1714,1632,0,0,0.952158693115519
"131",130,3837,"Tenente Laurentino Cruz","RN",2414159,241415,2015,5757,4658,0,0,0.809101962827862
"132",131,2819,"Calumbi","PE",2603405,260340,2015,5745,2649,0,0,0.461096605744125
"133",132,2817,"Caetés","PE",2603207,260320,2015,28145,6536,0,0,0.232225972641677
"134",133,3726,"Frutuoso Gomes","RN",2404002,240400,2015,4228,2809,0,0,0.66438032166509
"135",134,3730,"Grossos","RN",2404408,240440,2015,10197,7642,0,0,0.74943610865941
"136",135,3724,"Florânia","RN",2403806,240380,2015,9254,7114,7083,0.765398746488005,0.768748649232764
"137",136,2661,"Lagoa","PB",2508109,250810,2015,4687,2380,0,0,0.507787497333049
"138",137,3716,"Currais Novos","RN",2403103,240310,2015,44887,37929,30087,0.670283155479315,0.844988526744937
"139",138,3718,"Encanto","RN",2403301,240330,2015,5593,2464,5593,1,0.440550688360451
"140",139,3744,"Jardim do Seridó","RN",2405702,240570,2015,12553,10192,0,0,0.811917469927507
"141",140,3748,"Jucurutu","RN",2406106,240610,2015,18450,11341,3757,0.203631436314363,0.614688346883469
"142",141,3753,"Lagoa Nova","RN",2406502,240650,2015,15274,7586,5042,0.330103443760639,0.496660992536336
"143",142,3760,"Macau","RN",2407203,240720,2015,31318,23797,20618,0.65834344466441,0.75985056517019
"144",143,3762,"Marcelino Vieira","RN",2407302,240730,2015,8499,5058,0,0,0.595128838686904
"145",144,3763,"Martins","RN",2407401,240740,2015,8706,5340,0,0,0.613370089593384
"146",145,3805,"Santana do Matos","RN",2411403,241140,2015,13605,6804,0,0,0.500110253583241
"147",146,3810,"São Fernando","RN",2411809,241180,2015,3587,2423,2187,0.609701700585447,0.675494842486758
"148",147,3811,"São Francisco do Oeste","RN",2411908,241190,2015,4173,3176,0,0,0.761083153606518
"149",148,3812,"São Gonçalo do Amarante","RN",2412005,231240,2015,47297,15927,5987,0.126583081379369,0.336744402393386
"150",149,3813,"São João do Sabugi","RN",2412104,241210,2015,6218,4994,0,0,0.803152138951431
"151",150,2771,"Sousa","PB",2516201,251620,2015,68822,61453,28819,0.418746912324547,0.892926680421958
"152",151,3733,"Ipanguaçu","RN",2404705,240470,2015,15147,3842,0,0,0.25364758698092
"153",152,2821,"Camocim de São Félix","PE",2603504,260350,2015,18292,13072,0,0,0.714629346162257
"154",153,3725,"Francisco Dantas","RN",2403905,240390,2015,2909,1667,0,0,0.573049157786181
"155",154,3729,"Governador Dix-Sept Rosado","RN",2404309,240430,2015,13048,6092,0,0,0.466891477621091
"156",155,2692,"Ouro Velho","PB",2510600,251060,2015,3023,2063,1700,0.56235527621568,0.682434667548793
"157",156,2656,"Juarez Távora","PB",2507606,250760,2015,7850,7158,0,0,0.911847133757962
"158",157,3739,"Janduís","RN",2405207,240520,2015,5419,4101,0,0,0.756781694039491
"159",158,2657,"Juazeirinho","PB",2507705,250770,2015,17902,8442,0,0,0.471567422634343
"160",159,2658,"Junco do Seridó","PB",2507804,250780,2001,6004,0,0,0,0
"161",160,2659,"Juripiranga","PB",2507903,250790,2015,10669,7227,0,0,0.677383072452901
"162",161,2664,"Lastro","PB",2508406,250840,2015,2765,1614,0,0,0.58372513562387
"163",162,2665,"Livramento","PB",2508505,250850,2015,7355,4238,0,0,0.576206662134602
"164",163,3742,"Jardim de Angicos","RN",2405504,240550,2015,2669,1432,0,0,0.536530535781191
"165",164,2594,"Boqueirão","PB",2502508,250250,2015,17670,11319,12462,0.705263157894737,0.640577249575552
"166",165,2669,"Malta","PB",2508802,250880,2015,5672,5481,0,0,0.96632581100141
"167",166,3734,"Ipueira","RN",2404804,240480,2015,2221,2020,0,0,0.909500225123818
"168",167,3736,"Itaú","RN",2404903,240490,2015,5878,5161,0,0,0.878019734603607
"169",168,2596,"Brejo do Cruz","PB",2502805,250280,2015,13900,10100,0,0,0.726618705035971
"170",169,2575,"Areia de Baraúnas","PB",2501153,250115,2015,1880,953,1412,0.751063829787234,0.506914893617021
"171",170,2578,"Assunção","PB",2501351,250135,2001,3020,0,0,0,0
"172",171,2581,"Baraúna","PB",2501534,240145,2015,27238,17132,0,0,0.628974227182613
"173",172,2680,"Mogeiro","PB",2509404,250940,2015,13317,2871,0,0,0.215589096643388
"174",173,2704,"Pilões","PB",2511608,251160,2015,6728,0,0,0,0
"175",174,2694,"Passagem","PB",2510709,251070,2015,2383,2115,0,0,0.887536718422157
"176",175,2719,"Riachão do Bacamarte","PB",2512754,251275,2015,4476,2228,0,0,0.497765862377122
"177",176,2601,"Cachoeira dos Índios","PB",2503308,250330,2015,10114,3981,0,0,0.393612813921297
"178",177,3695,"Augusto Severo","RN",2401305,240130,2015,9716,5232,0,0,0.538493207081103
"179",178,2606,"Cajazeiras","PB",2503704,250370,2015,61431,61431,9287,0.151177744135697,1
"180",179,2608,"Caldas Brandão","PB",2503803,250380,2015,5945,5342,0,0,0.898570227081581
"181",180,2862,"Ingazeira","PE",2607109,260710,2015,4556,2147,0,0,0.471246707638279
"182",181,2609,"Camalaú","PB",2503902,250390,2015,5971,4292,355,0.0594540278010384,0.718807569921286
"183",182,2618,"Caturité","PB",2504355,250435,2015,4779,1891,0,0,0.39568947478552
"184",183,3697,"Baraúna","RN",2401453,240145,2015,27238,17132,0,0,0.628974227182613
"185",184,2565,"Alagoinha","PB",2500502,250050,2015,14284,11100,0,0,0.777093251190143
"186",185,2767,"Sobrado","PB",2515971,251597,2015,7712,2085,0,0,0.270357883817427
"187",186,2566,"Alcantil","PB",2500536,250053,2015,5451,5425,5425,0.995230232984773,0.995230232984773
"188",187,2569,"Amparo","PB",2500734,250073,2015,2212,1498,998,0.451175406871609,0.677215189873418
"189",188,2570,"Aparecida","PB",2500775,250077,2015,8263,4806,0,0,0.581628948323853
"190",189,3701,"Bom Jesus","RN",2401701,250220,2015,2532,1811,0,0,0.715244865718799
"191",190,3702,"Brejinho","RN",2401800,260250,2015,7464,4740,0,0,0.635048231511254
"192",191,2622,"Congo","PB",2504702,250470,2015,4780,4314,0,0,0.902510460251046
