FID;id;nome;uf;codigo_ibg;codigo_mun;ano;populacao;agua;esgoto
93;3693;Areia Branca;RN;2401107;240110;2015;27356;21955;0
94;3714;Coronel João Pessoa;RN;2402907;240290;2015;4963;1700;0
95;2760;Seridó;PB;2515401;251540;2015;10900;4412;0
96;2761;Serra Branca;PB;2515500;251550;2015;13564;10630;0
97;2769;Soledade;PB;2516102;251610;2015;14714;12425;0
98;3705;Caicó;RN;2402006;240200;2015;67259;61630;5683
99;2721;Riacho de Santo Antônio;PB;2512788;251278;2015;1923;0;0
100;3708;Caraúbas;RN;2402303;250407;2015;4115;1918;2318
101;3709;Carnaúba dos Dantas;RN;2402402;240240;2015;8045;5227;0
102;3710;Carnaubais;RN;2402501;240250;2015;10760;3167;2405
103;2742;São João do Cariri;PB;2514008;251400;2015;4323;3624;0
104;3827;Serra do Mel;RN;2413359;241335;2015;11507;607;0
105;3746;João Dias;RN;2405900;240590;2015;2691;972;0
106;3747;José da Penha;RN;2406007;240600;2015;6049;3651;413
107;3828;Serra Negra do Norte;RN;2413409;241340;2015;8130;6503;5712
108;2751;São José do Brejo do Cruz;PB;2514651;251465;2015;1780;1318;400
109;3774;Ouro Branco;RN;2408508;240850;2015;4871;3377;2500
110;3765;Messias Targino;RN;2407609;240760;2015;4530;2482;0
111;2752;São José do Sabugi;PB;2514701;251470;2015;4124;3375;2212
112;3775;Paraná;RN;2408607;240860;2015;4222;2874;0
113;2753;São José dos Cordeiros;PB;2514800;251480;2015;3729;2487;0
114;2764;Serra Redonda;PB;2515807;251580;2015;7053;0;0
115;3776;Paraú;RN;2408706;240870;2015;3891;3424;0
116;3769;Mossoró;RN;2408003;240800;2015;288162;263279;129456
117;3838;Tibau;RN;2411056;241105;2015;4019;3090;0
118;2818;Calçado;PE;2603306;260330;2015;11136;3922;0
119;2620;Condado;PB;2504504;250450;2015;6733;6181;0
120;2781;Vieirópolis;PB;2517209;251720;2015;5295;1186;0
121;2935;São João;PE;2613206;261320;2015;22403;13749;0
122;3823;São Vicente;RN;2413003;241300;2015;6400;5185;0
123;3799;Riachuelo;RN;2410900;241090;2015;7863;4837;4301
124;3842;Triunfo Potiguar;RN;2414456;241445;2015;3366;2894;0
125;3843;Umarizal;RN;2414506;241450;2015;10835;9219;0
126;3844;Upanema;RN;2414605;241460;2015;14282;7050;0
127;3845;Várzea;RN;2414704;251710;2015;2747;2426;1800
128;3846;Venha-Ver;RN;2414753;241475;2015;4121;1293;0
129;3848;Viçosa;RN;2414902;241490;2015;1714;1632;0
130;3837;Tenente Laurentino Cruz;RN;2414159;241415;2015;5757;4658;0
131;2819;Calumbi;PE;2603405;260340;2015;5745;2649;0
132;2817;Caetés;PE;2603207;260320;2015;28145;6536;0
133;3726;Frutuoso Gomes;RN;2404002;240400;2015;4228;2809;0
134;3730;Grossos;RN;2404408;240440;2015;10197;7642;0
135;3724;Florânia;RN;2403806;240380;2015;9254;7114;7083
136;2661;Lagoa;PB;2508109;250810;2015;4687;2380;0
137;3716;Currais Novos;RN;2403103;240310;2015;44887;37929;30087
138;3718;Encanto;RN;2403301;240330;2015;5593;2464;5593
139;3744;Jardim do Seridó;RN;2405702;240570;2015;12553;10192;0
140;3748;Jucurutu;RN;2406106;240610;2015;18450;11341;3757
141;3753;Lagoa Nova;RN;2406502;240650;2015;15274;7586;5042
142;3760;Macau;RN;2407203;240720;2015;31318;23797;20618
143;3762;Marcelino Vieira;RN;2407302;240730;2015;8499;5058;0
144;3763;Martins;RN;2407401;240740;2015;8706;5340;0
145;3805;Santana do Matos;RN;2411403;241140;2015;13605;6804;0
146;3810;São Fernando;RN;2411809;241180;2015;3587;2423;2187
147;3811;São Francisco do Oeste;RN;2411908;241190;2015;4173;3176;0
148;3812;São Gonçalo do Amarante;RN;2412005;231240;2015;47297;15927;5987
149;3813;São João do Sabugi;RN;2412104;241210;2015;6218;4994;0
150;2771;Sousa;PB;2516201;251620;2015;68822;61453;28819
151;3733;Ipanguaçu;RN;2404705;240470;2015;15147;3842;0
152;2821;Camocim de São Félix;PE;2603504;260350;2015;18292;13072;0
153;3725;Francisco Dantas;RN;2403905;240390;2015;2909;1667;0
154;3729;Governador Dix-Sept Rosado;RN;2404309;240430;2015;13048;6092;0
155;2692;Ouro Velho;PB;2510600;251060;2015;3023;2063;1700
156;2656;Juarez Távora;PB;2507606;250760;2015;7850;7158;0
157;3739;Janduís;RN;2405207;240520;2015;5419;4101;0
158;2657;Juazeirinho;PB;2507705;250770;2015;17902;8442;0
159;2658;Junco do Seridó;PB;2507804;250780;2001;6004;0;0
160;2659;Juripiranga;PB;2507903;250790;2015;10669;7227;0
161;2664;Lastro;PB;2508406;250840;2015;2765;1614;0
162;2665;Livramento;PB;2508505;250850;2015;7355;4238;0
163;3742;Jardim de Angicos;RN;2405504;240550;2015;2669;1432;0
164;2594;Boqueirão;PB;2502508;250250;2015;17670;11319;12462
165;2669;Malta;PB;2508802;250880;2015;5672;5481;0
166;3734;Ipueira;RN;2404804;240480;2015;2221;2020;0
167;3736;Itaú;RN;2404903;240490;2015;5878;5161;0
168;2596;Brejo do Cruz;PB;2502805;250280;2015;13900;10100;0
169;2575;Areia de Baraúnas;PB;2501153;250115;2015;1880;953;1412
170;2578;Assunção;PB;2501351;250135;2001;3020;0;0
171;2581;Baraúna;PB;2501534;240145;2015;27238;17132;0
172;2680;Mogeiro;PB;2509404;250940;2015;13317;2871;0
173;2704;Pilões;PB;2511608;251160;2015;6728;0;0
174;2694;Passagem;PB;2510709;251070;2015;2383;2115;0
175;2719;Riachão do Bacamarte;PB;2512754;251275;2015;4476;2228;0
176;2601;Cachoeira dos Índios;PB;2503308;250330;2015;10114;3981;0
177;3695;Augusto Severo;RN;2401305;240130;2015;9716;5232;0
178;2606;Cajazeiras;PB;2503704;250370;2015;61431;61431;9287
179;2608;Caldas Brandão;PB;2503803;250380;2015;5945;5342;0
180;2862;Ingazeira;PE;2607109;260710;2015;4556;2147;0
181;2609;Camalaú;PB;2503902;250390;2015;5971;4292;355
182;2618;Caturité;PB;2504355;250435;2015;4779;1891;0
183;3697;Baraúna;RN;2401453;240145;2015;27238;17132;0
184;2565;Alagoinha;PB;2500502;250050;2015;14284;11100;0
185;2767;Sobrado;PB;2515971;251597;2015;7712;2085;0
186;2566;Alcantil;PB;2500536;250053;2015;5451;5425;5425
