id;nome;uf;populacao;pib;estado_id;codigo_ibg;OID_;MUNICIPIO;UF_1;MUNICIPI_1;UF_12
3840;Timba├║ba dos Batistas;RN;2295;13534;20;2414308;274;├ügua Nova;RN;Timba├║ba dos Batistas;RN
2728;Santa Helena;PB;5369;24826;15;2513307;161;Aparecida;PB;Santa Helena;PB
3833;Taboleiro Grande;RN;2317;13033;20;2413805;274;├ügua Nova;RN;Taboleiro Grande;RN
2923;Salo├í;PE;15309;70466;16;2612307;0;Araripina;PE;Salo├í;PE
2730;Santa Luzia;PB;14719;77079;15;2513406;161;Aparecida;PB;Santa Luzia;PB
2722;Riacho dos Cavalos;PB;8314;34144;15;2512804;161;Aparecida;PB;Riacho dos Cavalos;PB
2734;Santa Rita;PB;120310;1246777;15;2513703;161;Aparecida;PB;Santa Rita;PB
2959;Triunfo;PE;15006;69200;16;2615706;0;Araripina;PE;Triunfo;PE
3715;Cruzeta;RN;7967;54074;20;2403004;274;├ügua Nova;RN;Cruzeta;RN
2737;S├úo Bentinho;PB;4138;20543;15;2513927;161;Aparecida;PB;S├úo Bentinho;PB
2738;S├úo Bento;PB;30879;192796;15;2513901;161;Aparecida;PB;S├úo Bento;PB
3836;Tenente Ananias;RN;9883;46355;20;2414100;274;├ügua Nova;RN;Tenente Ananias;RN
2743;S├úo Jo├úo do Rio do Peixe;PB;18201;82474;15;2500700;161;Aparecida;PB;S├úo Jo├úo do Rio do Peixe;PB
3687;Alexandria;RN;13507;66759;20;2400505;274;├ügua Nova;RN;Alexandria;RN
2741;S├úo Francisco;PB;3364;16246;15;2513984;161;Aparecida;PB;S├úo Francisco;PB
2744;S├úo Jo├úo do Tigre;PB;4396;18885;15;2514107;161;Aparecida;PB;S├úo Jo├úo do Tigre;PB
3689;Alto do Rodrigues;RN;12305;187828;20;2400703;274;├ügua Nova;RN;Alto do Rodrigues;RN
2745;S├úo Jos├® da Lagoa Tapada;PB;7564;33039;15;2514206;161;Aparecida;PB;S├úo Jos├® da Lagoa Tapada;PB
3692;Apodi;RN;34763;292845;20;2401008;274;├ügua Nova;RN;Apodi;RN
